Salvador International Airport,4
Brasilia International Airport,4
São Paulo-Guarulhos International Airport,4
Rio de Janeiro-Galeão (Antonio Carlos Jobim International Airport),1
El Alto International Airport (La Paz),4
El Dorado International Airport (Bogota),6
Lima Jorge Chávez International Airport,3
Buenos Aires Ministro Pistarini International Airport,3
Santiago Arturo Merino Benítez International Airport,3
Carrasco International Airport (Aeropuerto de Carrasco - Montevideo),3
Quito Mariscal Sucre International Airport,4
Cancún International Airport,3
Monterrey General Mariano Escobedo International Airport,5
Guadalajara Miguel Hidalgo y Costilla International Airport,3
Mexico City Benito Juárez International Airport,4
Tocumen Panama International Airport,3
Atlantic City International Airport,3
Long Island MacArthur Airport,4
Buffalo Niagara International Airport,5
Westchester County Airport,3
Newark Liberty International Airport,6
New York John F. Kennedy International Airport,4
New York LaGuardia Airport,5
Kansas City International Airport,6
Lambert-St Louis International Airport,4
Daytona Beach International Airport,6
Sarasota Bradenton International Airport,4
Tampa International Airport,6
Southwest Florida International Airport,5
Palm Beach International Airport,4
Jacksonville International Airport,6
Fort Lauderdale Hollywood International Airport,4
Miami International Airport,5
Orlando International Airport,5
Sioux Falls Regional Airport,4
Richmond International Airport,3
Washington Dulles International Airport,6
Ronald Reagan Washington National Airport,4
San Antonio International Airport,6
El Paso International Airport,5
Austin-Bergstrom International Airport,4
Dallas-Fort Worth International Airport,5
Houston George Bush Intercontinental Airport,6
Houston William P. Hobby Airport,6
Portland International Airport,6
Ted Stevens Anchorage International Airport,3
Reno-Tahoe International Airport,4
Las Vegas McCarran International Airport,6
Hector International Airport,3
Portland International Jetport,6
Bradley International Airport,7
Dane County Regional Airport,5
Milwaukee General Mitchell International Airport,4
Oklahoma City Will Rogers World Airport,4
Rochester International Airport,1
Duluth International Airport,3
Minneapolis-St. Paul International Airport,5
T. F. Green Airport,6
Colorado Springs Airport,5
Denver International Airport,6
Indianapolis International Airport,4
Lansing Capital Region International Airport,3
Bishop International Airport,3
Detroit Metro Airport,6
Des Moines International Airport,3
Palm Springs International Airport,3
Sacramento International Airport,5
John Wayne Airport,5
Norman Y. Mineta San Jose International Airport,4
San Diego International Airport,5
San Francisco International Airport,5
Oakland International Airport,5
Ontario International Airport,5
Los Angeles International Airport,5
Hollywood Burbank Airport,4
Columbia Metropolitan Airport,4
Mobile Regional Airport,2
Birmingham-Shuttlesworth International Airport,3
Pittsburgh International Airport,3
Philadelphia International Airport,6
Piedmont Triad International Airport,3
Raleigh-Durham International Airport,6
Charlotte-Douglas International Airport,4
Tucson International Airport,4
Phoenix Sky Harbor International Airport,6
Blue Grass Airport,2
Louisville International Airport,5
Cincinnati/Northern Kentucky International Airport,6
Dayton International Airport,4
Port Columbus International Airport,5
Akron-Canton Airport,3
Cleveland Hopkins International Airport,4
Salt Lake City International Airport,6
Atlanta Hartsfield-Jackson International Airport,6
Seattle-Tacoma International Airport,6
Manchester - Boston Regional Airport,3
Boston Logan International Airport,6
Honolulu International Airport,3
Albuquerque International Sunport,5
Baltimore-Washington International Thurgood Marshall Airport,5
Chicago Midway International Airport,4
Chicago O'Hare International Airport,6
New Orleans Louis Armstrong International Airport,3
Nashville International Airport,5
Memphis International Airport,4
Toronto Pearson International Airport,6
Ottawa International Airport,6
Halifax Stanfield International Airport,4
Montreal-Pierre Elliott Trudeau International Airport,6
Calgary International Airport,5
Vancouver International Airport,3
Phuket International Airport,6
Ubon Ratchathani Airport,5
Surat Thani International Airport,3
Samui Airport,5
Udon Thani International Airport,5
Khon Kaen Airport,5
Hat Yai International Airport,3
Krabi International Airport,5
Chiang Rai International Airport (Mae Fah Luang),4
Chiang Mai International Airport,4
Bangkok Don Mueang International Airport,4
Bangkok Suvarnabhumi Airport,6
Almaty International Airport,3
Fukuoka Airport ,3
Chubu Centrair International Airport (Central Japan International Airport),4
New Chitose Airport (Sapporo),4
Sendai Airport,3
Tokyo Haneda Airport,2
Tokyo Narita International Airport,5
Osaka Kansai International Airport,4
Busan Gimhae International Airport,3
Seoul Incheon International Airport,5
Tbilisi International Airport,3
Yangon International Airport,3
Vientiane International Airport (Wattay),3
Bandaranaike International Airport,4
Hambantota Mattala Rajapaksa International Airport,3
Baku Heydar Aliyev International Airport,1
Penang International Airport,1
Kuala Lumpur International Airport,5
Hyderabad Rajiv Gandhi International Airport,2
Lal Bahadur Shastri International Airport,3
Goa International Airport,5
Trivandrum International Airport,5
Sardar Vallabhbhai Patel International Airport,4
Gaya Airport,4
New Delhi Indira Gandhi International Airport,6
Mumbai Chhatrapati Shivaji Maharaj International Airport,4
Kolkata Netaji Subhas Chandra Bose International Airport,3
Chennai International Airport,3
Kempegowda International Airport,3
Ngurah Rai Airport,3
Jakarta Soekarno-Hatta International Airport,4
Karachi Jinnah International Airport,1
Allama Iqbal International Airport,3
Islamabad Benazir Bhutto International Airport,1
Hazrat Shahjalal International Airport,4
Kunming Changshui International Airport,3
Guangzhou Baiyun International Airport,3
Xiamen Gaoqi International Airport,3
Chengdu Shuangliu International Airport,2
Shanghai Hongqiao International Airport,5
Shanghai Pudong International Airport,3
Beijing Capital International Airport,4
Hong Kong International Airport,3
Malé Ibrahim Nasir International Airport,3
Brunei International Airport,0
Taiwan Taoyuan International Airport,3
Kathmandu Tribhuvan International Airport,1
Noi Bai International Airport,5
Tan Son Nhat International Airport,3
Singapore Changi Airport,3
Phnom Penh International Airport,3
Manila Ninoy Aquino International Airport,3
Antonio B. Won Pat Guam International Airport,4
Auckland International Airport,6
Wellington International Airport,4
Christchurch International Airport,5
Queenstown Airport,3
Sydney Airport,4
Adelaide Airport,3
Brisbane Airport,4
Cairns Airport,4
Melbourne Airport,4
Perth Airport,2
Dammam King Fahd International Airport,3
Jeddah King Abdulaziz International Airport,3
Riyadh King Khaled International Airport,5
Bahrain International Airport,3
Erbil International Airport,3
Al Ain International Airport,3
Abu Dhabi International Airport,6
Dubai International Airport,3
Tehran Imam Khomeini International Airport,2
Tel Aviv Ben Gurion International Airport,1
Amman Queen Alia International Airport,3
Beirut Rafic Hariri International Airport,4
Doha Hamad International Airport,4
Kuwait International Airport,3
Muscat International Airport,3
Abidjan Félix Houphouët-Boigny International Airport,2
Seychelles International Airport,3
Mauritius Sir Seewoosagur Ramgoolam International Airport,4
Algiers Houari Boumediene Airport,4
Sharm el-Sheikh International Airport,3
Hurghada International Airport,3
Cairo International Airport,3
Addis Ababa Bole International Airport ,4
Agadir Al-Massira Airport,4
Marrakech Menara Airport,4
Casablanca Mohammed V International Airport,2
Accra Kotoka International Airport,6
Mombasa Moi International Airport,4
Nairobi Jomo Kenyatta International Airport,3
Boa Vista Aristides Pereira Airport,3
Lagos Murtala Muhammed International Airport,5
Port Elizabeth Airport,4
Cape Town International Airport,3
Johannesburg O.R. Tambo International Airport,5
Durban King Shaka International Airport,3
Tunis Carthage International Airport,3
Julius Nyerere International Airport,2
Bangalore International Airport,8
Brussels Midi,7

Total Hotels 7
