Product name,Category Reference,Country,Region,Age,Alcohol %,Company,Producer Name,SampleNumber,Award,TastingCategory,spirit type
Glen Garioch Highland Single Malt Whisky 12 YO,31e,Scotland,Highland,12,48,Beam Suntory (ex Morrison Bowmore/Laphroig),Beam Suntory (ex Morrison Bowmore/Laphroig),6072,Gold,Whisky - Scotch - Single Malt - Highland - 8-12 YO,Whisky
Laproaig The 1815 Legacy Edition Islay Single Malt Scotch Whisky,31e,Scotland,Islay,,48,Beam Suntory (ex Morrison Bowmore/Laphroig),Beam Suntory (ex Morrison Bowmore/Laphroig),6048,Gold,Whisky - Scotch -Single Malt - Islay - No Age Stated,Whisky
Bowmore Islay Single Malt Scotch Whisky 18YO,31e,Scotland,Islay,18,43,Beam Suntory (ex Morrison Bowmore/Laphroig),Beam Suntory (ex Morrison Bowmore/Laphroig),6054,Gold Outstanding,Whisky - Scotch -Single Malt - Islay - 15 - 18 YO,Whisky
Bowmore Islay Single Malt Scotch Whisky 10 YO,31e,Scotland,Islay,,40,Beam Suntory (ex Morrison Bowmore/Laphroig),Beam Suntory (ex Morrison Bowmore/Laphroig),6057,Gold,Whisky - Scotch - Single Malt - Islay - 8-12 YO,Whisky
Tea Liqueur Jossie Earl Grey,23q,France,,,20,"Lead-off Japan Co.,Ltd.",Gabriel Boudier,6234,Gold Outstanding,Liqueurs - Tea,Liqueurs
Bowmore Islay Single Malt Scotch Whisky 15 YO,31e,Scotland,Islay,,43,Beam Suntory (ex Morrison Bowmore/Laphroig),Beam Suntory (ex Morrison Bowmore/Laphroig),6058,Gold,Whisky - Scotch -Single Malt - Islay - 15 - 18 YO,Whisky
Vana Tallinn Elegance,23l,Estonia,,,40,Liviko AS,Liviko AS,6542,Gold,Liqueur - Spice,Liqueur
Laphroaig Quarter Cask Islay Single Malt Scotch Whisky,31e,Scotland,Islay,,48,Beam Suntory (ex Morrison Bowmore/Laphroig),Beam Suntory (ex Morrison Bowmore/Laphroig),6059,Gold,Whisky - Scotch -Single Malt - Islay - No Age Stated,Whisky
Gustav Dill Vodka,28 (c),Finland,,,40,Lignell & Piispanen,Lignell & Piispanen,6503,Gold,Vodka - Flavoured - Herbal,Vodka
Gustav Arctic Vodka,28a,Finland,,,40,Lignell & Piispanen,Lignell & Piispanen,6505,Gold Outstanding,Vodka - Neutral - Europe - 40%,Vodka
1792 Full Proof Kentucky Straight Bourbon Whiskey,29a,USA,Kentucky,,62.5,Sazerac Company Inc,Sazerac Company Inc,6454,Gold Outstanding,Whiskey - Straight Bourbon - Kentucky - No Age Stated - 62-64.75%,Whiskey
Flor de Caña Centenario 12,25c,Nicaragua,,,40,Rum Trading International - Flor de Caña,Rum Trading International - Flor de Caña,5763,Gold Outstanding,Rum - Dark - Central & South America - 5-25YO,Rum
1792 Single Barrel Kentucky Straight Bourbon Whiskey,29,USA,Kentucky,,49.3,Sazerac Company Inc,Sazerac Company Inc,5999,Gold,Whiskey - Straight Bourbon - Kentucky - No Age Stated - 46-49%,Whiskey
Gin Méridor,22c,France,Pays de la Loire,,41.9,Distillerie Combier,Distillerie Combier,5264,Gold,Gin - London Dry - 42%,Gin
Big House Kentucky Straight Bourbon Whiskey,29a,USA,Kentucky,,45,Sazerac Company Inc,Sazerac Company Inc,5784,Gold Outstanding,Whiskey - Straight Bourbon - Kentucky - No Age stated - 37-45%,Whiskey
Flor de Caña Centenario 25 ,25c,Nicaragua,,,40,Rum Trading International - Flor de Caña,Rum Trading International - Flor de Caña,5765,Gold,Rum - Dark - Central & South America - 5-25YO,Rum
Dalmore Valour Single Highland Malt,31e,Scotland,Highland,,40,Whyte and Mackay Ltd,Whyte and Mackay Ltd,6028,Gold Outstanding,Whisky - Scotch - Single Malt - Highland - No Age Stated,Whisky
Pastis Henri Bardouin,34c,France,,,43,Emporia Brands Ltd,Distilleries et Domaines de Provence,6552,Gold,Flavoured Spirits - Aniseed,Flavoured Spirits
Diurachs Own Jura Single Highland Malt 16YO,31e,Scotland,Highland,16,40,Whyte and Mackay Ltd,Whyte and Mackay Ltd,6036,Gold,Whisky - Scotch -Single Malt - Island - 16 - 21 YO,Whisky
Jura Single Highland Malt 10YO,31e,Scotland,Highland,10,40,Whyte and Mackay Ltd,Whyte and Mackay Ltd,6038,Gold,Whisky - Scotch -Single Malt - Island - 10 -12 - Cask Finish,Whisky
Sainsbury's Taste the Difference Calvados XO,18d(i),France,Calvados,,40,Emporia Brands Ltd,Emporia Brands Ltd,6563,Gold,Calvados - Pays d'Auge - 12 Year Old,Calvados
"Las Garrafas de Oaxaca, Serpiente Rosada",27b(i),Mexico,,,40,Destilados de Alambique SA de CV,Destilados de Alambique SA de CV,6247,Gold,Mezcal - 100% Agave - Joven,Mezcal
Dalmore Single Highland Malt 50YO,31e,Scotland,Highland,50,40,Whyte and Mackay Ltd,Whyte and Mackay Ltd,6039,Gold,Whisky - Scotch - Single Malt - Highland - 50 YO,Whisky
dRAMM Licorice Cream,23h,Netherlands,,,14.5,Engelstad Spirits AS,Engelstad,5892,Gold Outstanding,Liqueurs - Cream - Licorice + Chilli,Liqueurs
Syndicate 58/6 12 YO Blended Scotch Whisky,31b,Scotland,,,40,Syndicate 58/6 Limited,Syndicate 58/6 Limited,6270,Gold Outstanding,Whisky - Scotch - Deluxe Blend - 6-13 YO,Whisky
1606 Premium London Dry Gin,22a,England,South East,,43,1606 Gin,1606 Gin,6350,Gold,Gin - London Dry - 43%,Gin
"Dewar's 30 YO "" Ne Plus Ultra"" Blended Scotch Whisky",31b,Scotland,Highland,,40,John Dewar & Sons Ltd,John Dewar & Sons Ltd,5762,Gold,Whisky - Scotch - Blended - 29-30 YO,Whisky
Rare Vintage Glen Grant 1961,31e,Scotland,Speyside,,40,Gordon & Macphail,Gordon & Macphail,5825,Gold,Whisky - Scotch - Single Malt - Speyside - 53 YO,Whisky
Craigellachie 23 YO Single Malt Scotch Whisky,31e,Scotland,Speyside,,46,John Dewar & Sons Ltd,John Dewar & Sons Ltd,5861,Gold,Whisky - Scotch - Single Malt - Speyside - 23 YO,Whisky
Moore's Dry Gin,22a,Australia,,,40,Distillery Botanica Pty Ltd,Distillery Botanica Pty Ltd,6529,Gold,Gin - London Dry - 40%,Gin
El Dorado Demerara Rum - 21 YO,25b,Guyana,,,43,Love Drinks,Demerara Distillers,5736,Gold,Rum - Golden - Guyana - 8 -21 YO,Rum
Longmorn 23 Year Old,31e(i),Scotland,Speyside,,48,Lexis Agency,Chivas Brothers,6113,Gold,Whisky - Scotch - Single Malt - Speyside - 23 YO,Whisky
The Glenlivet Founder's Reserve Single Malt Scotch Whisky,31e,Scotland,Speyside,,40,Lexis Agency,Chivas Brothers,6079,Gold,Whisky Scotch - Single Malt - Speyside - No Age Stated,Whisky Scotch
Ovin Pion Vodka ,28a,France,Cognac,,40,Ovin Pion GmbH & Co.KG,Ovin Pion GmbH & Co.KG,6233,Gold,Vodka - Neutral - Europe - 40%,Vodka
Grappa Le Giare Gewürztraminer,21b,Italy,,,41,Distilleria Marzadro Spa,Distilleria Marzadro Spa,5991,Gold Outstanding,Grape Brandy - Grappa - Traminer - Wood Aged,Grape Brandy
The Glenlivet 15 Year Old,31e(i),Scotland,Speyside,,40,Lexis Agency,Chivas Brothers,6086,Gold,Whisky - Scotch - Single Malt - Speyside - 12-17 YO,Whisky
Yanghe Spirit Classic Series (Dream_M6),35a,China,,,52,Jiangsu Yanghe Distillery Co Ltd,Jiangsu Yanghe Distillery Co Ltd,5663,Gold,Kaoliang Liquor (Baiju) - China - 50 - 56%,Kaoliang Liquor (Baiju)
Grappa Giare Amarone,21b,Italy,,,41,Distilleria Marzadro Spa,Distilleria Marzadro Spa,5992,Gold,Grape Brandy - Grappa - Amarone - Wood Aged,Grape Brandy
The Glenlivet 18 Year Old,31e(i),Scotland,Speyside,,43,Lexis Agency,Chivas Brothers,6080,Gold,Whisky - Scotch - Single Malt - Speyside - 19-21 YO,Whisky
Scapa Skiren,31e(i),Scotland,Island,,40,Lexis Agency,Chivas Brothers,6090,Gold,Whisky - Scotch - Single Malt - Islands -  No Age Stated,Whisky
Aberlour 12 Year Old Double Cask Matured Highland Single Malt,31e(i),Scotland,Speyside,,40,Lexis Agency,Chivas Brothers,6110,Gold,Whisky - Scotch - Single Malt - Speyside - 10-12 YO - Cask Finish,Whisky
Aberlour 16 Year Old Double Cask Matured,31e(i),Scotland,Speyside,,40,Lexis Agency,Chivas Brothers,6106,Gold,Whisky - Scotch - Single Malt - Speyside - 14-17 YO - Cask Finish,Whisky
Rutte Dry Gin,22a,Netherlands,,,43,De Kuyper Royal Distillers,De Kuyper Royal Distillers,5834,Gold,Gin - London Dry - 43%,Gin
De Kuyper Crème de Cassis,23b,Netherlands,,,15,De Kuyper Royal Distillers,De Kuyper Royal Distillers,5843,Gold,Liqueurs - Blackcurrant,Liqueurs
Scapa Glansa,31e(i),Scotland,Island,,40,Lexis Agency,Chivas Brothers,6089,Gold,Whisky - Scotch -Single Malt - Island - No Age Stated - Peated,Whisky
Mainstay 54 Vodka,28a,South Africa,,,54,Distell,Distell,5906,Gold Outstanding,Vodka - Neutral - 54%,Vodka
Ballantine's Hard Fired,31b,Scotland,,,40,Lexis Agency,Chivas Brothers,6095,Gold,Whisky - Scotch - Deluxe Blend - No Age Stated,Whisky
Yanghe Spirit Classic Series (Sky),35a,China,,,42,Jiangsu Yanghe Distillery Co Ltd,Jiangsu Yanghe Distillery Co Ltd,5667,Gold,Kaoliang Liquor (Baiju) - China - 33-46%,Kaoliang Liquor (Baiju)
Klipdrift Gold Potstilled Brandy,21d,South Africa,,,38,Distell,Distell,5915,Gold,Grape Brandy - South Africa - Pot Stilled - No Age Stated,Grape Brandy
Ballantine's 17 Year Old,31b,Scotland,,,40,Lexis Agency,Chivas Brothers,6083,Gold,Whisky - Scotch - Deluxe Blend - 17-18 YO,Whisky
Van Ryn's 20 YO Collector's Reserve,21d,South Africa,,,38,Distell,Distell,5898,Gold Outstanding,Grape Brandy - South Africa - Pot Still - 15-20 YO,Grape Brandy
One Gin,22c,England,South,,43,Global Ethics Ltd,Global Ethics Ltd,6276,Gold,Gin - Contemporary Styles - England - 39-46%,Gin
Oude Meester Souverein 18 YO Potstill Brandy,21d,South Africa,,,38,Distell,Distell,5899,Gold Outstanding,Grape Brandy - South Africa - Pot Still - 15-20 YO,Grape Brandy
Creme de Cassis Des Hautes Cotes de Nuits ,23b,France,,,18,MAISON TRENEL,MAISON TRENEL,5987,Gold,Liqueurs - Blackcurrant,Liqueurs
Purity Vodka 51 ,28a,Sweden,,,40,Purity Vodka AB,Purity Vodka AB,6819,Gold Outstanding,Vodka - Neutral - Europe - 40%,Vodka
Richelieu XO,19c(i),France,Cognac,,40,Distell,Distell,5908,Gold,Cognac - XO - Fine Champagne,Cognac
Deanston 18 YO Highland Single Malt,31e,Scotland,Highland,,46.3,Distell,Distell,6251,Gold,Whisky - Scotch - Single Malt - Highland - 17-18 YO,Whisky
Purity Vodka Organic,28a,Sweden,,,40,Purity Vodka AB,Purity Vodka AB,6822,Gold Outstanding,Vodka - Organic - Neutral - 40%,Vodka
Wheatley Vodka,28a,USA,Kentucky,,41,Sazerac Company Inc,Buffalo Trace Distillery,5774,Gold,Vodka - Neutral - 41-43%,Vodka
Glenmorangie Original 10 YO Highland Single Malt,31e,Scotland,Highland,,40,The Glenmorangie Company,The Glenmorangie Company,6127,Gold,Whisky - Scotch - Single Malt - Highland - 8-12 YO ,Whisky
El Señorio Mezcal Reposado Extra,27c(i),Mexico,,,38,Para Todo Mal Mezcal,Para Todo Mal Mezcal,6999,Gold,Mezcal - 100% Agave - Reposado Extra,Mezcal
Glenmorangie Nectar D'Or,31e(i),Scotland,Highland,,46,The Glenmorangie Company,The Glenmorangie Company,6125,Gold,Whisky - Scotch - Single Malt - Highland - 12YO - Cask Finish,Whisky
Glenmorangie 18 YO,31e,Scotland,Highland,,43,The Glenmorangie Company,The Glenmorangie Company,6137,Gold,Whisky - Scotch - Single Malt - Highland - 18-25YO - 40-48%,Whisky
Glenmorangie Duthac Highland Single Malt,31e,Scotland,Highland,,43,The Glenmorangie Company,The Glenmorangie Company,6134,Gold,Whisky - Scotch - Single Malt - Highland - No Age Stated - Cask Finish,Whisky
Glenmorangie Grand Vintage Malt 1990,31e,Scotland,Highland,,43,The Glenmorangie Company,The Glenmorangie Company,6130,Gold,Whisky - Scotch - Single Malt - Highland - 24-30 YO,Whisky
Glenmorangie Bacalta,31e,Scotland,Highland,,46,The Glenmorangie Company,The Glenmorangie Company,6135,Gold,Whisky - Scotch - Single Malt - Highland - No Age Stated - Cask Finish,Whisky
Glenmorangie Quinta Ruban,31e(i),Scotland,Highland,,46,The Glenmorangie Company,The Glenmorangie Company,6132,Gold,Whisky - Scotch - Single Malt - Highland - 12YO - Cask Finish,Whisky
Azor Gin Reserva,22e,Portugal,Açores VR (Azores),,40,"Drinks & Flavours, Lda","Drinks & Flavours, Lda",6805,Gold,Gin - Wood Finished - 40-47%,Gin
Bunnahabhain 18 YO Single Malt Scotch Whisky ,31e(ii),Scotland,Islay,,46.3,Distell,Distell,6260,Gold,Whisky - Scotch - Single Malt - Islay - 18-25YO - Unpeated - Cask Strength 45%+,Whisky
Bunnahabhain 25 YO Single Malt Scotch Whisky ,31e(ii),Scotland,Islay,,46.3,Distell,Distell,6261,Gold,Whisky - Scotch - Single Malt - Islay - 18-25YO - Unpeated - Cask Strength 45%+,Whisky
Blended Whisky #3 23YO,31a,Scotland,,23,48.2,ATOM Supplies Ltd,ATOM Supplies Ltd,6625,Gold,Whisky - Scotch - Deluxe Blend - 23-25 YO,Whisky
Oliver Cromwell London Dry Gin,22a,England,,,37.5,Aldi Stores Ltd,Aldi Stores Ltd,6150,Gold,Gin - London Dry - 37-38%,Gin
Glenturret 35YO Highland Single Malt,31e,Scotland,Highland,,47.7,ATOM Supplies Ltd,ATOM Supplies Ltd,6633,Gold,Whisky - Scotch - Single Malt - Highland - 35-40 YO,Whisky
Port Ellen Islay Single Malt Scotch Whisky 33YO,31e,Scotland,Islay,33,47.5,ATOM Supplies Ltd,ATOM Supplies Ltd,6626,Gold Outstanding,Whisky - Scotch - Single Malt - Islay - 33 YO Peated - Cask Strength 47%,Whisky
The Half-Century Blend 50YO,31b,Scotland,,50,45.5,ATOM Supplies Ltd,ATOM Supplies Ltd,6635,Gold,Whisky - Scotch - Deluxe Blend - 50 YO - Cask Strength 45%,Whisky
Bathtub Gin - Cask-Aged ,22c,England,South East,,43.3,ATOM Supplies Ltd,ATOM Supplies Ltd,6643,Gold,Gin - Contemporary Styles - Wood Rested - 43-57%,Gin
"Bathtub Gin - Cask-Aged, Navy-Strength",22c,England,South East,,57,ATOM Supplies Ltd,ATOM Supplies Ltd,6644,Gold Outstanding,Gin - Wood Finished - Navy Strength - 57%,Gin
Bathtub Gin - Navy-Strength,22c,England,South East,,57,ATOM Supplies Ltd,ATOM Supplies Ltd,6645,Gold Outstanding,Gin - Contemporary Styles - England - 57%,Gin
Hernö - Batch 1 (That Boutique-y Gin Company),22a,Sweden,,,46.2,ATOM Supplies Ltd,ATOM Supplies Ltd,6650,Gold Outstanding,Gin - London Dry - 46-48%,Gin
"Bathtub Gin - Cask-Aged, Navy-Strength",22e,England,South East,,57,ATOM Supplies Ltd,ATOM Supplies Ltd,6644,Gold Outstanding,Gin - Wood Finished - Navy Strength - 57%,Gin
Tyler-Street London Dry Gin,22a,England,South West,,40,Soul Spirits Ltd,Soul Spirits Ltd,6451,Gold,Gin - London Dry - 40%,Gin
Specially Selected Creme de Cassis,23b,France,,,15,Aldi Stores Ltd,Aldi Stores Ltd,6153,Gold,Liqueurs - Blackcurrant,Liqueurs
El Señorio Mezcal Reposado,27c(ii),Mexico,,,38,Para Todo Mal Mezcal,Para Todo Mal Mezcal,7000,Gold,Mezcal - 100% Agave - Reposado,Mezcal
