organisationid,companyname,EntryType,ProductType,productid,productname,producername,awardname,winecolour,tastingcategory,tastingnotes,alcoholpercentage,countryname,organisationaddressid,contactid,categoryreference,categorysubtype,orderproductref,orderrefid,eventrefid,,Spirit type/ grape
10181977,Gatsios distillery,On Line,Spirits,10181982,Tsipouro Gatsios ,,Bronze,,Grape Brandy - Tsipouro - Greece ,,40,Greece,10181978,10181979,21c,Grape Brandy,14573,2984,22,,Grape Brandy
10004184,Cooperative Winery of Epirus S.A Zoenos SA,On Line,Spirits,10200615,ZITA GOLD aged tsipouro,Cooperative Winery of Epirus S.A Zoenos SA,Bronze,,Grape Brandy - Tsipouro - Greece - Wood Aged,,42,Greece,10004185,10004186,21c,Grape Brandy,18625,3749,22,,Grape Brandy
10004184,Cooperative Winery of Epirus S.A Zoenos SA,On Line,Spirits,10200616,ZITA tsipouro,Cooperative Winery of Epirus S.A Zoenos SA,Silver,,Grape Brandy - Tsipouro - Greece,,40,Greece,10004185,10004186,21c,Grape Brandy,18624,3749,22,,Grape Brandy
106952,Distilleria Sibona S.p.A,On Line,Spirits,10172561,Grappa Riserva Affinata In Botti da Rum - Grappa Reserve in Rum wood finish,Distilleria Sibona S.p.A,Bronze,,Grape Brandy - Grappa - Cask Finish,,44,Italy,207431,508373,21b,Grape Brandy,12547,2548,22,,Grape Brandy
106952,Distilleria Sibona S.p.A,On Line,Spirits,10172562,Grappa Riserva Affinata in Botti da Sherry - Grappa Reserve in Sherry wood finish,Distilleria Sibona S.p.A,Bronze,,Grape Brandy - Grappa - Cask Finish,,44,Italy,207431,508373,21b,Grape Brandy,12535,2548,22,,Grape Brandy
106952,Distilleria Sibona S.p.A,On Line,Spirits,10172563,Grappa Riserva Barolo 5 Anni - Grappa Reserve Barolo 5 years old,Distilleria Sibona S.p.A,Silver Outstanding,,Grape Brandy - Grappa - Barolo - Wood Aged - 5 YO,,44,Italy,207431,508373,21b,Grape Brandy,12544,2548,22,,Grape Brandy
106952,Distilleria Sibona S.p.A,On Line,Spirits,10172564,Sibona Grappa Di Moscato,Distilleria Sibona S.p.A,Silver,,Grape Brandy - Grappa - Moscato - Wood Aged,,42,Italy,207431,508373,21b,Grape Brandy,12542,2548,22,,Grape Brandy
106952,Distilleria Sibona S.p.A,On Line,Spirits,10172565,Grappa Riserva Affinata In Botti da Porto - Grappa Reserve in Port wood finish,Distilleria Sibona S.p.A,Silver,,Grape Brandy - Grappa - Cask Finish,,44,Italy,207431,508373,21b,Grape Brandy,12540,2548,22,,Grape Brandy
103329,Borgo Vecchio SAS di Cavalin Valerio & C.,Post,Spirits,10175711,Grappa Müller Thurgau,Borgo Vecchio SAS di Cavalin Valerio & C.,Bronze,,Grape brandy - Grappa - Müller Tjurgau,,40,Italy,203565,10175708,21b,Grape Brandy,13266,2719,22,,Grape brandy
103329,Borgo Vecchio SAS di Cavalin Valerio & C.,Post,Spirits,10175712,Grappa Müllerthurgau Barrigue Rovere ,Borgo Vecchio SAS di Cavalin Valerio & C.,Bronze,,Grape Brandy - Grappa - Müller Thurgau - Wood Aged,,40,Italy,203565,10175708,21b,Grape Brandy,13267,2719,22,,Grape Brandy
