organisationid,companyname,EntryType,ProductType,productid,productname,producername,awardname,winecolour,tastingcategory,tastingnotes,alcoholpercentage,countryname,organisationaddressid,contactid,categoryreference,categorysubtype,orderproductref,orderrefid,eventrefid,,Spirit type/ grape
10140946,Distell,On Line,Spirits,10205985,Van Ryn's 20 YO Collector's Reserve,Distell,Gold,,Grape Brandy - South Africa - Pot Still - 15-20 YO,,38,South Africa,10205962,10205963,21d,Grape Brandy,19106,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205986,Van Ryn's 12 YO Distiller's Reserve,Distell,Silver Outstanding,,Grape Brandy - South Africa - Pot Still - 8-12 YO,,38,South Africa,10205962,10205963,21d,Grape Brandy,19094,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205987,Van Ryn's 15 YO Fine Cask Reserve,Distell,Silver Outstanding,,Grape Brandy - South Africa - Pot Still - 15-20 YO,,38,South Africa,10205962,10205963,21d,Grape Brandy,19105,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205988,Oude Meester Souverein 18 YO Potstill Brandy,Distell,Gold Outstanding,,Grape Brandy - South Africa - Pot Still - 15-20 YO,,38,South Africa,10205962,10205963,21d,Grape Brandy,19527,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205989,Richelieu International,Distell,Silver,,Grape Brandy - South Africa - Blended - No Age Stated,,43,South Africa,10205962,10205963,21d,Grape Brandy,19129,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205990,Oude Meester Demant Potstilled Brandy,Distell,Silver Outstanding,,Grape Brandy - South Africa - Pot Stilled - No Age Stated,,38,South Africa,10205962,10205963,21d,Grape Brandy,19525,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205991,Oude Meester Reserve 12 YO Potstilled Brandy,Distell,Silver Outstanding,,Grape Brandy - South Africa - Pot Still - 8-12 YO,,38,South Africa,10205962,10205963,21d,Grape Brandy,19526,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205992,Richelieu 10 YO Vintage Brandy,Distell,Silver Outstanding,,Grape Brandy - South Africa - Blended - 10 YO,,38,South Africa,10205962,10205963,21d,Grape Brandy,19134,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205993,Oude Meester VSOB,Distell,Silver Outstanding,,Grape Brandy - South Africa - Blended - No Age Stated,,43,South Africa,10205962,10205963,21d,Grape Brandy,19524,3936,22,,Grape Brandy
10140946,Distell,On Line,Spirits,10205995,Viceroy Pot Still 5 YO ,Distell,Silver Outstanding,,Grape Brandy - South Africa - Pot Still - VS/5YO-7YO,,43,South Africa,10205962,10205963,21d,Grape Brandy,19135,3936,22,,Grape Brandy
10207658,DALLA CIA WINE & SPIRIT CO.,On Line,Spirits,10207663,Dalla Cia 10 Year Anniversary Grappa,,Silver,,Grape Brandy - Marc - South Africa - 10 YO,,43,South Africa,10207659,10207660,21c,Grape Brandy,16807,4001,22,,Grape Brandy
107944,Emilio Lustau SA,On Line,Spirits,10169488,Lustau Brandy Solera Gran Reserva ,Emilio Lustau SA,Silver Outstanding,,Grape Brandy - Brandy de Jerez - Gran Reserva,,40,Spain,208488,509554,21a,Grape Brandy,12140,2485,22,,Grape Brandy
107944,Emilio Lustau SA,On Line,Spirits,10169489,Lustau Brandy Solera Gran Reserva Finest Selection,Emilio Lustau SA,Silver Outstanding,,Grape Brandy - Brandy de Jerez - Gran Reserva,,40,Spain,208488,509554,21a,Grape Brandy,12141,2485,22,,Grape Brandy
107944,Emilio Lustau SA,On Line,Spirits,10169490,Lustau Brandy Solera Reserva ,Emilio Lustau SA,Silver,,Grape Brandy - Breandy de Jerez - Reserva,,40,Spain,208488,509554,21a,Grape Brandy,12139,2485,22,,Grape Brandy
113301,Miguel Torres SA,On Line,Spirits,10176936,Jaime I,Miguel Torres SA,Gold,,Grape Brandy - Brandy del Pendes,,38,Spain,215028,10175630,21d,Grape Brandy,13164,2692,22,,Grape Brandy
113301,Miguel Torres SA,On Line,Spirits,10176937,Torres 20,Miguel Torres SA,Gold,,Grape Brandy - Brandy del Pendes,,40,Spain,215028,10175630,21d,Grape Brandy,13171,2692,22,,Grape Brandy
113301,Miguel Torres SA,On Line,Spirits,10176938,Torres 15,Miguel Torres SA,Silver Outstanding,,Grape Brandy - Brandy del Pended,,40,Spain,215028,10175630,21d,Grape Brandy,13170,2692,22,,Grape Brandy
103238,Bodegas y Viñedos Verum S.L,On Line,Spirits,10184037,Verum Aguardiente de Uva Gewurztraminer ,Bodegas y Viñedos Verum S.L,Silver,,Grape Brandy - Aguardiente - Spain,,37.5,Spain,203467,10004072,21c,Grape Brandy,11309,3050,22,,Grape Brandy
103238,Bodegas y Viñedos Verum S.L,On Line,Spirits,10184038,Verum Aguardiente de Uva Tempranillo Roble ,Bodegas y Viñedos Verum S.L,Bronze,,Grape Brandy - Aguardiente - Spain,,37.5,Spain,203467,10004072,21c,Grape Brandy,11310,3050,22,,Grape Brandy
103238,Bodegas y Viñedos Verum S.L,On Line,Spirits,10184039,Verum Aguardiente de Uva Airen de Hierbas,Bodegas y Viñedos Verum S.L,Silver,,Grape Brandy - Aguardiente - Spain,,30,Spain,203467,10004072,21c,Grape Brandy,11332,3050,22,,Grape Brandy
103238,Bodegas y Viñedos Verum S.L,On Line,Spirits,10184041,Verum Aguardiente de Uva Sauvignon Blanc ,Bodegas y Viñedos Verum S.L,Silver,,Grape Brandy - Aguardiente - Spain,,37.5,Spain,203467,10004072,21c,Grape Brandy,11307,3050,22,,Grape Brandy
10164987,Bodegas Fundador,On Line,Spirits,10184449,Bodegas Fundador Exclusivo ,Bodegas Fundador,Silver,,Grape Brandy - Brandy de Jerez - Gran Reserva,,40,Spain,10164988,10184446,21a,Grape Brandy,15380,3067,22,,Grape Brandy
10164987,Bodegas Fundador,On Line,Spirits,10184452,Bodegas Fundador Terry Primero,Bodegas Fundador,Silver,,Grape Brandy - Brandy de Jerez - Gran Reserva,,40,Spain,10164988,10184446,21a,Grape Brandy,15381,3067,22,,Grape Brandy
10164987,Bodegas Fundador,On Line,Spirits,10184453,Bodegas Fundador Supremo Aged in 12 YRS Old PX Sherry Casks,Bodegas Fundador,Silver Outstanding,,Grape Brandy - Brandy de Jerez - Gran Reserva - Cask Finish,,40,Spain,10164988,10184446,21a,Grape Brandy,15384,3067,22,,Grape Brandy
10164987,Bodegas Fundador,On Line,Spirits,10184454,Bodegas Fundador Supremo Aged in 18 YRS Old Oloroso Sherry Casks,Bodegas Fundador,Silver Outstanding,,Grape Brandy - Brandy de Jerez - Gran Reserva - Cask Finish,,40,Spain,10164988,10184446,21a,Grape Brandy,15387,3067,22,,Grape Brandy
10164987,Bodegas Fundador,On Line,Spirits,10184455,Bodegas Fundador Supremo Aged in 15 YRS Old Amontillado Sherry Casks,Bodegas Fundador,Gold,,Grape Brandy - Brandy de Jerez - Gran Reserva - Cask Finish,,40,Spain,10164988,10184446,21a,Grape Brandy,15385,3067,22,,Grape Brandy
10141370,Macardo Destillerie,On Line,Spirits,10193047,Macardo Acquavite di Vinaccia Cuvee Reserva,Macardo Destillerie,Silver,,Grape Brandy - Aquavite - Switzerland - Wood Aged - 2007,,42,Switzerland,10141371,10141372,21c,Grape Brandy,17159,3370,22,,Grape Brandy
107710,E&J Gallo Winery,On Line,Spirits,10167570,E&J Brandy VS (40%),E&J Gallo Winery,Silver,,Grape Brandy - USA - No Age Stated,,40,USA,208235,10127530,21d,Grape Brandy,11532,2399,22,,Grape Brandy
10010483,Teeling Whiskey Company,On Line,Spirits,10169449,Teeling Whiskey Company - Spirit of Dublin,Teeling Whiskey Company,Silver Outstanding,,Irish Poitin - 52%+,,52.5,Republic of Ireland,10141059,10141060,36a,Other,11154,2477,22,,Irish Poitin
10010483,Teeling Whiskey Company,On Line,Spirits,10169442,Teeling Revival Volume III Single Malt Irish Whiskey,Teeling Whiskey Company,Bronze,,Irish Whiskey - Single Malt - 8-14YO,,46,Republic of Ireland,10141059,10141060,30e,Whiskey - Irish,11360,2477,22,,Irish Whiskey
10010483,Teeling Whiskey Company,On Line,Spirits,10169444,Teeling Whiskey White Burgundy Single Cask Single Malt Irish Whiskey,Teeling Whiskey Company,Silver Outstanding,,Irish Whiskey - Single Malt - No Age Stated - Cask Finish & Cask Strength 58%,,58.8,Republic of Ireland,10141059,10141060,30e(ii),Whiskey - Irish,11916,2477,22,,Irish Whiskey
10010483,Teeling Whiskey Company,On Line,Spirits,10169445,Teeling Whiskey Small Batch Blend,Teeling Whiskey Company,Silver,,Irish Whiskey - Blended - No Age Stated - Cask Finish,,46,Republic of Ireland,10141059,10141060,30a,Whiskey - Irish,11149,2477,22,,Irish Whiskey
10010483,Teeling Whiskey Company,On Line,Spirits,10169446,Teeling Whiskey Vintage Reserve Single Malt Irish Whiskey 24YO,Teeling Whiskey Company,Bronze,,Irish Whiskey - Single Malt - 24YO - Cask Finish,,46,Republic of Ireland,10141059,10141060,30e,Whiskey - Irish,11155,2477,22,,Irish Whiskey
10010483,Teeling Whiskey Company,On Line,Spirits,10169447,Teeling Whiskey Single Grain Irish Whiskey,Teeling Whiskey Company,Silver,,Irish Whiskey - Single Grain - No Age Stated - Cask Finish,,46,Republic of Ireland,10141059,10141060,30c(i),Whiskey - Irish,11150,2477,22,,Irish Whiskey
10010483,Teeling Whiskey Company,On Line,Spirits,10169448,Teeling Whiskey Single Malt Irish Whiskey,Teeling Whiskey Company,Gold,,Irish Whiskey - Single Malt - No Age Stated,,46,Republic of Ireland,10141059,10141060,30e,Whiskey - Irish,11151,2477,22,,Irish Whiskey
113985,Niche Drinks Co Ltd,On Line,Spirits,10176354,The Quiet Man 8 Year Old Single Malt Irish Whiskey (Sherry Finish),Niche Drinks Co Ltd,Silver,,Irish Whiskey - Single Malt - 8-14YO - Cask Finish,,46,Republic of Ireland,215778,517736,30e(i),Whiskey - Irish,12700,2583,22,,Irish Whiskey
113985,Niche Drinks Co Ltd,On Line,Spirits,10176355,The Quiet Man Superior Irish Whiskey Blend,Niche Drinks Co Ltd,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,215778,517736,30a,Whiskey - Irish,12688,2583,22,,Irish Whiskey
113985,Niche Drinks Co Ltd,On Line,Spirits,10176356,The Quiet Man 12 Year Old Single Malt Irish Whiskey,Niche Drinks Co Ltd,Silver,,Irish Whiskey - Single Malt - 8-14YO,,46,Republic of Ireland,215778,517736,30e,Whiskey - Irish,12696,2583,22,,Irish Whiskey
113985,Niche Drinks Co Ltd,On Line,Spirits,10176357,The Quiet Man 8 Year Old Single Malt Irish Whiskey,Niche Drinks Co Ltd,Silver,,Irish Whiskey - Single Malt - 8-14YO,,40,Republic of Ireland,215778,517736,30e,Whiskey - Irish,12691,2583,22,,Irish Whiskey
10179974,Pugilist,On Line,Spirits,10179979,Prizefight Irish Whiskey,,Silver,,Irish Whiskey - Blended - No Age Stated,,43,Republic of Ireland,10179975,10179976,30a,Whiskey - Irish,14189,2879,22,,Irish Whiskey
103594,Brown-Forman Corporation,On Line,Spirits,10197719,Slane Irish Whiskey,Brown-Forman Corporation,Silver Outstanding,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,203847,10197714,30a,Whiskey - Irish,17805,3525,22,,Irish Whiskey
104835,Halewood Wines and Spirits,On Line,Spirits,10202078,The Pogues Irish Whiskey,Halewood Wines and Spirits,Bronze,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10202074,10202075,30a,Whiskey - Irish,18839,3777,22,,Irish Whiskey
121058,William Grant & Sons Distillers Ltd,On Line,Spirits,10203459,Tullamore DEW,William Grant & Sons Distillers Ltd,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,223319,526431,30a,Whiskey - Irish,18923,3874,22,,Irish Whiskey
121058,William Grant & Sons Distillers Ltd,On Line,Spirits,10203462,Tullamore Dew Trilogy 15 YO,William Grant & Sons Distillers Ltd,Silver,,Irish Whiskey - Blended - 15-18YO,,40,Republic of Ireland,223319,526431,30a,Whiskey - Irish,18924,3874,22,,Irish Whiskey
121058,William Grant & Sons Distillers Ltd,On Line,Spirits,10203463,Tullamore DEW 18,William Grant & Sons Distillers Ltd,Silver Outstanding,,Irish Whiskey - Single Malt - 18-24YO,,41.3,Republic of Ireland,223319,526431,30e,Whiskey - Irish,18925,3874,22,,Irish Whiskey
121058,William Grant & Sons Distillers Ltd,On Line,Spirits,10203498,Tullamore Dew 14 YO Single Malt ,William Grant & Sons Distillers Ltd,Silver,,Irish Whiskey - Single Malt - 8-14YO - Cask Finish,,40,Republic of Ireland,223319,526431,30e(i),Whiskey - Irish,19208,3874,22,,Irish Whiskey
121058,William Grant & Sons Distillers Ltd,On Line,Spirits,10203504,Tullamore Dew Phoenix,William Grant & Sons Distillers Ltd,Silver,,Irish Whiskey - Blended - No Age Stated - Cask Finish - 55%,,40,Republic of Ireland,223319,526431,30a,Whiskey - Irish,19207,3874,22,,Irish Whiskey
121058,William Grant & Sons Distillers Ltd,On Line,Spirits,10203505,Tullamore Dew 12 YO Special Reserve,William Grant & Sons Distillers Ltd,Gold Outstanding,,Irish Whiskey - Deluxe Blend - 12YO,,40,Republic of Ireland,223319,526431,30b,Whiskey - Irish,19206,3874,22,,Irish Whiskey
121058,William Grant & Sons Distillers Ltd,On Line,Spirits,10203511,Tullamore Dew Cider Cask ,William Grant & Sons Distillers Ltd,Silver,,Irish Whiskey - Blended - No Age Stated - Cask Finish,,40,Republic of Ireland,223319,526431,30a,Whiskey - Irish,19205,3874,22,,Irish Whiskey
10010483,Teeling Whiskey Company,On Line,Spirits,10204090,Teeling Revival Volume IV,Teeling Whiskey Company,Silver,,Irish Whiskey - Single Malt - No Age Stated,,46,Republic of Ireland,10141059,10141060,30e,Whiskey - Irish,19062,3828,22,,Irish Whiskey
116356,Sazerac Company Inc,On Line,Spirits,10206076,Paddy Irish Whiskey,Sazerac Company Inc,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,218299,520617,30a,Whiskey - Irish,19395,3900,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207206,Midleton Barry Crockett Legacy ,Irish Distillers,Silver Outstanding,,Irish Whiskey - Single Pot Still - No Age Stated,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19823,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207207,Midleton Dair Ghaelach ,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - No Age Stated - Cask Strength 58%,,58.2,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19821,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207208,Midleton Very Rare ,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10049643,10143651,30a,Whiskey - Irish,19824,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207209,METHOD AND MADNESS Single Grain Irish Whiskey Finished in Virgin Spanish Oak,Irish Distillers,Bronze,,Irish Whiskey - Single Grain - No Age Stated - Cask Finish,,46,Republic of Ireland,10049643,10143651,30c(i),Whiskey - Irish,19825,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207210,METHOD AND MADNESS Single Malt Irish Whiskey Enhanced with French Limousin Oak,Irish Distillers,Bronze,,Irish Whiskey - Single Malt - No Age Stated - Cask Finish,,46,Republic of Ireland,10049643,10143651,30e(i),Whiskey - Irish,19827,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207211,METHOD AND MADNESS Single Pot Still Irish Whiskey Finished in French Chestnut,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - No Age Stated - Cask Finish,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19826,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207212,Yellow Spot 12 YO,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - 12-15YO,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19806,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207213,Powers John’s Lane Release,Irish Distillers,Silver Outstanding,,Irish Whiskey - Single Pot Still - 12-15YO,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19819,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207214,Redbreast 12 YO,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - 12-15YO,,40,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19809,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207215,Green Spot Chateau Leoville Barton Cask Finish,Irish Distillers,Bronze,,Irish Whiskey - Single Pot Still - No Age Stated - Cask Finish79.4,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19808,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207216,Redbreast 12 YO Cask Strength,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - 12YO - Cask Strength 57%,,57.2,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19818,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207217,Redbreast 15 YO,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - 12-15YO,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19811,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207218,Redbreast 21 YO,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - 21YO,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19814,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207219,Redbreast Lustau Edition ,Irish Distillers,Silver,,Irish Whiskey - Single Pot Still - No Age Stated - Cask Finish,,46,Republic of Ireland,10049643,10143651,30f,Whiskey - Irish,19816,3988,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207228,Jameson Caskmates,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated - Cask Finish,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19802,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207229,Jameson Signature Irish Whiskey,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19803,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207230,Jameson Crested Irish Whiskey,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19805,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207231,Jameson Black Barrel Irish Whiskey,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19810,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207232,Jameson Round Irish Whiskey,Irish Distillers,Silver Outstanding,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19807,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207233,Jameson Cooper's Croze Irish Whiskey,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,43,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19815,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207234,Jameson 18 YO,Irish Distillers,Silver,,Irish Whiskey - Blended - 15-18YO,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19813,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207235,Jameson Blender's Dog,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,43,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19817,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207236,Jameson Distiller's Safe,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,43,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19820,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207237,Jameson Bold,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19822,3987,22,,Irish Whiskey
115676,Richmond Towers Communications,On Line,Spirits,10207238,Jameson Irish Whiskey,Irish Distillers,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10049643,10207224,30a,Whiskey - Irish,19801,3987,22,,Irish Whiskey
10087217,Lidl Ireland GmbH,On Line,Spirits,10207281,Dundalgan 10 YO Single Malt Irish Whiskey,Lidl Ireland GmbH,Silver,,Irish Whiskey - Single Malt - 8-14YO,,40,Republic of Ireland,10087218,10207278,30e,Whiskey - Irish,19760,3982,22,,Irish Whiskey
10087217,Lidl Ireland GmbH,On Line,Spirits,10207283,Dundalgan Irish Whiskey,Lidl Ireland GmbH,Silver,,Irish Whiskey - Blended - No Age Stated,,40,Republic of Ireland,10087218,10207278,30a,Whiskey - Irish,19758,3982,22,,Irish Whiskey
10087217,Lidl Ireland GmbH,On Line,Spirits,10207285,Dundalgan Special Reserve Charred Cask Irish Whiskey,Lidl Ireland GmbH,Silver Outstanding,,Irish Whiskey - Blended - No Age Stated - Cask Finish,,40,Republic of Ireland,10087218,10207278,30a,Whiskey - Irish,19761,3982,22,,Irish Whiskey
10145181,ATOM Supplies Ltd,On Line,Spirits,10208088,Irish Single Malt #1 24YO,ATOM Supplies Ltd,Silver,,Irish Whiskey - Single Malt - 18-24YO,,46.8,Republic of Ireland,10145182,10145183,30e,Whiskey - Irish,19948,4015,22,,Irish Whiskey
10023496,Jiangsu Yanghe Distillery Co Ltd,On Line,Spirits,10192117,Yanghe Spirit Classic Series (Dream_M6),Jiangsu Yanghe Distillery Co Ltd,Gold,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,52,China,10192113,10192114,35a,Misc Spirits,15458,3314,22,,Kaoliang Liquor (Baiju)
10023496,Jiangsu Yanghe Distillery Co Ltd,On Line,Spirits,10192119,Yanghe Spirit Classic Series (Dream_M3),Jiangsu Yanghe Distillery Co Ltd,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,52,China,10192113,10192114,35a,Misc Spirits,15457,3314,22,,Kaoliang Liquor (Baiju)
10023496,Jiangsu Yanghe Distillery Co Ltd,On Line,Spirits,10192120,Yanghe Spirit Classic Series (Sky),Jiangsu Yanghe Distillery Co Ltd,Gold,,Kaoliang Liquor (Baiju) - China - 33-46%,,42,China,10192113,10192114,35a,Misc Spirits,15456,3314,22,,Kaoliang Liquor (Baiju)
10023496,Jiangsu Yanghe Distillery Co Ltd,On Line,Spirits,10192121,Yanghe Spirit Classic Series (Ocean),Jiangsu Yanghe Distillery Co Ltd,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 33-46%,,42,China,10192113,10192114,35a,Misc Spirits,15392,3314,22,,Kaoliang Liquor (Baiju)
10023496,Jiangsu Yanghe Distillery Co Ltd,On Line,Spirits,10192122,Yanghe Daqu,Jiangsu Yanghe Distillery Co Ltd,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 33-46%,,38,China,10192113,10192114,35a,Misc Spirits,15382,3314,22,,Kaoliang Liquor (Baiju)
10200301,Chongqing  Jiangxiaobai Liquor Co.Ltd,On Line,Spirits,10200308,Jiangxiaobai Gold Label,Chongqing  Jiangxiaobai Liquor Co.Ltd,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,52,China,10200302,10200303,35a,Misc Spirits,18613,3716,22,,Kaoliang Liquor (Baiju)
10200301,Chongqing  Jiangxiaobai Liquor Co.Ltd,On Line,Spirits,10200309,Jiangxiaobai INTIMATE FRIEND,Chongqing  Jiangxiaobai Liquor Co.Ltd,Silver,,Kaoliang Liquor (Baiju) - China - 33-46%,,40,China,10200302,10200303,35a,Misc Spirits,18612,3716,22,,Kaoliang Liquor (Baiju)
10200301,Chongqing  Jiangxiaobai Liquor Co.Ltd,On Line,Spirits,10200310,Jiangxiaobai JOYOUTH,Chongqing  Jiangxiaobai Liquor Co.Ltd,Silver,,Kaoliang Liquor (Baiju) - China - 33-46%,,40,China,10200302,10200303,35a,Misc Spirits,18570,3716,22,,Kaoliang Liquor (Baiju)
10200301,Chongqing  Jiangxiaobai Liquor Co.Ltd,On Line,Spirits,10200311,Jiangxiaobai Se100,Chongqing  Jiangxiaobai Liquor Co.Ltd,Silver,,Kaoliang Liquor (Baiju) - China - 33-46%,,45,China,10200302,10200303,35a,Misc Spirits,18469,3716,22,,Kaoliang Liquor (Baiju)
103887,Camus Cognac,On Line,Spirits,10206357,KWEICHOW MOUTAI LEGENDARY CHINA COLLECTION,Camus La Grande Marque SA,Silver,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,53,China,204155,504642,35a,Misc Spirits,19464,3915,22,,Kaoliang Liquor (Baiju)
10166183,Fu-fong International Liquor Factory,On Line,Spirits,10166188,Fu-Fong Kaoliang Liquor with edible gold flake,Fu-fong International Liquor Factory,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,50,Taiwan,10166184,10166185,35a,Misc Spirits,10989,2320,22,,Kaoliang Liquor (Baiju)
10140790,Kinmen Kaoliang Liquor Inc.,On Line,Spirits,10177394,0.5L-53% Kinmen Kaoliang Liquor,Kinmen Kaoliang Liquor Inc.,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,53,Taiwan,10140791,10140792,35a,Misc Spirits,13546,2757,22,,Kaoliang Liquor (Baiju)
10140790,Kinmen Kaoliang Liquor Inc.,On Line,Spirits,10177395,0.5L-58% Kinmen Kaoliang Liquor – Platinum Dragon,Kinmen Kaoliang Liquor Inc.,Silver,,Kaoliang Liquor (Baiju) - China - 58 - 66%,,58,Taiwan,10140791,10140792,35a,Misc Spirits,13541,2757,22,,Kaoliang Liquor (Baiju)
10140790,Kinmen Kaoliang Liquor Inc.,On Line,Spirits,10177396,Kinmen Kaoliang Liquor (Taiwan Merchant Selection),Kinmen Kaoliang Liquor Inc.,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,50,Taiwan,10140791,10140792,35a,Misc Spirits,13539,2757,22,,Kaoliang Liquor (Baiju)
10140790,Kinmen Kaoliang Liquor Inc.,On Line,Spirits,10177397,Taiwan Kinmen Kaoliang Liquor,Kinmen Kaoliang Liquor Inc.,Silver,,Kaoliang Liquor (Baiju) - China - 58 - 66%,,58,Taiwan,10140791,10140792,35a,Misc Spirits,13537,2757,22,,Kaoliang Liquor (Baiju)
10140790,Kinmen Kaoliang Liquor Inc.,On Line,Spirits,10177398,0.5L-38% Kinmen Kaoliang Liquor,Kinmen Kaoliang Liquor Inc.,Silver,,Kaoliang Liquor (Baiju) - China - 33-46%,,38,Taiwan,10140791,10140792,35a,Misc Spirits,13547,2757,22,,Kaoliang Liquor (Baiju)
10140790,Kinmen Kaoliang Liquor Inc.,On Line,Spirits,10177399,Premium Kinmen Kaoliang Liquor (Red Dragon),Kinmen Kaoliang Liquor Inc.,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,56,Taiwan,10140791,10140792,35a,Misc Spirits,13548,2757,22,,Kaoliang Liquor (Baiju)
10140790,Kinmen Kaoliang Liquor Inc.,On Line,Spirits,10177400,Cellar Reserve Kinmen Kaoliang Liquor,Kinmen Kaoliang Liquor Inc.,Silver Outstanding,,Kaoliang Liquor (Baiju) - China - 50 - 56%,,56,Taiwan,10140791,10140792,35a,Misc Spirits,13555,2757,22,,Kaoliang Liquor (Baiju)
