La Motte,La Motte Chardonnay 2016,La Motte,Bronze,White,Chardonnay - WO Western Cape - 2016-2015,South Africa
La Motte,La Motte Millennium 2015,La Motte,Bronze,Red,Merlot/Merlot Dominated - WO Western Cape - 2016-2014,South Africa
Lidl UK,Cimarosa South African Merlot Western Cape 2015,Lidl UK,Bronze,Red,Merlot/Merlot Dominated - WO Western Cape - 2016-2014,South Africa
Lourensford Wine Estate,Lourensford Limited Release Merlot 2015,Lourensford Wine Estate,Bronze,Red,Merlot - WO Stellenbosch - 2015-2014,South Africa
MAN Vintners (Pty) Ltd,MAN Family Wines Cabernet Sauvignon 2015,MAN Vintners (Pty) Ltd,Bronze,Red,Blended Red - Cabernet Sauvignon Dominated - WO Stellenbosch - 2015,South Africa
MAN Vintners (Pty) Ltd,MAN Family Wines Merlot 2015,MAN Vintners (Pty) Ltd,Bronze,Red,Merlot - Western Cape - 2015,South Africa
Meerlust Estate,Meerlust Rubicon 2009,Meerlust Estate,Bronze,Red,Blended Red - Cabernet Sauvignon Dominated - Stellenbosch - 2015-2009,South Africa
Meerlust Estate,Meerlust Red 2014,Meerlust Estate,Bronze,Red,Blended Red - Merlot Dominated - WO Stellenbosch - 2015-2014,South Africa
Meerlust Estate,Meerlust Cabernet Sauvignon 2014,Meerlust Estate,Bronze,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
Mentzendorff & Co Ltd,Klein Constantia Estate Sauvignon Blanc 2015,Klein Constantia Estate,Bronze,White,Sauvignon Blanc - WO Constantia - 2015,South Africa
Middelvlei Estate,Middelvlei Momberg 2015,Middelvlei Estate,Bronze,Red,Shiraz/Shiraz dominated blends - WO Wards of Stellenbosch - 2015,South Africa
Nitida Cellars,Calligraphy 2015,Nitida Cellars,Bronze,Red,Merlot/Merlot Dominated Blends - WO Durbanville - 2015-2014,South Africa
Off-Piste Wines Ltd,Dawn Patrol Syrah Grenache 2014,Off-Piste Wines Ltd,Bronze,Red,Shiraz/Shiraz dominated blends - WO Swartland - 2016-2014,South Africa
Off-Piste Wines Ltd,Morrison's The Best Pinotage 2016,Riebeek Cellars,Bronze,Red,Pinotage - WO Swartland & Wards - 2016-2014,South Africa
Off-Piste Wines Ltd,Morrison's The Best Sauvignon Blanc 2017,Trizanne Signature Wines,Bronze,White,Sauvignon Blanc - WO Western Cape - 2017-2015,South Africa
Origin Wine Ltd,Craft & Origin Organic Red 2016,Origin Wine Ltd,Bronze,Red,Craft organic Red - Western Cape - NV,South Africa
Origin Wine Ltd,Morrisons The Best South African Shiraz 2016,Origin Wine Ltd,Bronze,Red,Shiraz - W O Western Cape - 2017-2014,South Africa
Origin Wine Ltd,Morrisons Sparkling Moscato 2017,Origin Wine Ltd,Bronze,White,Sparkling Moscato - White - 2017-2016,South Africa
Origin Wine Ltd,Stormhoek Merlot Rose 2017,Origin Wine Ltd,Bronze,Rosé,Rosé - Merlot - Western Cape - NV,South Africa
Ormonde Vineyards,Ormonde Shiraz 2014,Ormonde Vineyards,Bronze,Red,Shiraz - WO Darling - 2014-2013,South Africa
Ormonde Vineyards,Ormonde Vernon Basson 2013,Ormonde Vineyards,Bronze,Red,Cabernet Sauvignon/Cabernet Blends - W O Darling - 2014-202 3,South Africa
Raisin Social Limited,Leopard's Leap Classic Cabernet Sauvignon 2016,Leopard's Leap Family Vineyards,Bronze,Red,Cabernet Sauvignon - WO Western Cape - 2016-2013,South Africa
Rhebokskloof Wine Estate ,Cellar Selection Cabernet Sauvignon/Shiraz 2014,Rhebokskloof Wine Estate ,Bronze,Red,Cabernet Sauvignon/Shiraz blend - WO Paarl - 2014,South Africa
Rhebokskloof Wine Estate ,Sandstone Grove Chardonnay 2014,Rhebokskloof Wine Estate ,Bronze,White,Chardonnay - W O Paarl - 2016-2014,South Africa
Rooiberg Winery,Rooiberg Winery Cabernet Sauvignon Reserve 2015,Rooiberg Winery,Bronze,Red,Cabernet Sauvignon - WO Robertson - 2015,South Africa
Saxenburg Wine Estate,Saxenburg Private Collection Chardonnay 2015,Saxenburg Wine Estate,Bronze,White,Chardonnay - WO Stellenbosch - 2016-2015,South Africa
Simonsig Wine Estate.,Simonsig Chardonnay 2015,Simonsig Wine Estate.,Bronze,White,Chardonnay - WO Stellenbosch - 2016 -2015,South Africa
Simonsig Wine Estate.,Simonsig Tiara ,Simonsig Wine Estate.,Bronze,Red,Blended Red - Cabernet Sauvignon Dominated - W O Stellenbosch - 2015-2009,South Africa
Stellenbosch Hills,Stellenbosch Hills Cabernet Sauvignon 2015,Stellenbosch Hills,Bronze,Red,Cabernet Sauvignon - W O Stellenbosch - 2016-2014,South Africa
Stellenbosch Vineyards,Stellenbosch Vineyards Credo Chenin Blanc 2015,Stellenbosch Vineyards,Bronze,White,Chenin Blanc - WO Stellenbosch - 2017-2015,South Africa
StellenRust Wines,Stellenrust Sauvignon Blanc 2016,StellenRust Wines,Bronze,White,Sauvignon Blanc - WO Stellenbosch - 2017-2016,South Africa
The Grape Grinder,The Wild Olive Chenin Blanc 2017,The Grape Grinder,Bronze,White,Chenin Blanc - Swartland - 2017,South Africa
The Grape Grinder,The Milkwood Shiraz Viognier 2015,The Grape Grinder,Bronze,Red,Blended Red - Shiraz dominated - WO Stellenbosch - 2016-2015,South Africa
The Grape Grinder,The Grinder Shiraz 2015,The Grape Grinder,Bronze,Red,Shiraz - W O Western Cape - 2017-2014,South Africa
Uva Mira Mountain Vineyards,The Mira Sauvignon Blanc 2016,Uva Mira Mountain Vineyards,Bronze,White,Sauvignon Blanc - WO Stellenbosch - 2017-2016,South Africa
Villiera Wine,Villiera Barrel Fermented Chenin 2017,Villiera Wine,Bronze,White,Chenin Blanc - WO Coastal Region - 2017-2015,South Africa
Wellington Wines,Wellington La Cave Shiraz 2015,Wellington Wines,Bronze,Red,Shiraz - WO Wellington - 2015,South Africa
Windmeul Koop Wynkelder Bpk,Windmeul Chenin Blanc Reserve 2016,Windmeul Koop Wynkelder Bpk,Bronze,White,Chenin Blanc - W O Coastal Region - 2016,South Africa
Zevenwacht Wine Estate,Zevenwacht The Tin Mine 2014,Zevenwacht Wine Estate,Bronze,Red,Blended Red - Shiraz Dominated - WO Stellenbosch - 2016-2014,South Africa
Zevenwacht Wine Estate,Zevenwacht The Tin Mine 2016,Zevenwacht Wine Estate,Bronze,White,Blended White - Chenin Blanc Dominated - W O Stellenbosch - 2016,South Africa
Boland Cellar,One Formation Shiraz/Grenache/Viognier 2015,Boland Cellar,Bronze,Red,Shiraz/Shiraz dominated blends - WO Paarl & Wards - 2015-2010,South Africa
Avontuur Estate Pty Ltd,Avontuur Cabertnet Sauvignon 2013,Avontuur Estate Pty Ltd,Bronze,Red,Cabernet Sauvignon - W O Stellenbosch - 2013-2012,South Africa
Holden Manz Wine Estate,Syrah Reserve 2014,Holden Manz Wine Estate,Bronze,Red,Shiraz - WO Franschhoek - 2014,South Africa
Seven Spring Vineyards,Seven Spring Vineyards Pinot noir 2014,Seven Spring Vineyards,Bronze,Red,Pinot Noir - WO Elgin & Overberg - 2016-2014,South Africa
Budge Brands Ltd,Premier Estates Wine South Africa Chenin Blanc 2016,Group CGF,Bronze,White,Chenin Blanc - WO Western Cape - 2016,South Africa
Budge Brands Ltd,Premier Estates Wine South Africa Pinotage 2015,Group CGF,Bronze,Red,Pinotage - WO Western Cape - 2016-2015,South Africa
Seckford Agencies,Paul Cluver Village Pinot Noir 2016,Seckford Agencies,Bronze,Red,Pinot Noir - WO Elgin & Overberg - 2016-2014,South Africa
Seckford Agencies,Rustenberg John X Merriman 2015,Seckford Agencies,Bronze,Red,Merlot/Merlot dominated blends - Wards of WOStellenbosch - 2015-2014,South Africa
Paul Wallace Wines,Paul Wallace Brave Heart Pinot Noir 2016,Paul Wallace Wines,Bronze,Red,Pinot Noir - WO Elgin & Overberg - 2016-2014,South Africa
Accolade Wines Ltd.,Morrisons Merlot 2016,Accolade Wines Ltd.,Bronze,Red,Merlot/Merlot Dominated Blends - WO Western Cape - 2016,South Africa
Benguela Cove Lagoon Wine Estate,Benguela Cove Merlot 2014,Benguela Cove,Bronze,Red,Merlot/Merlot Dominated - WO Western Cape - 2016-2014,South Africa
Lothian Vineyards,Isobel Mourvedre Rosé 2016,Lothian Vineyards,Bronze,Rosé,Rosé - Mourvèdre - WO Elgin - 2016,South Africa
Hermanuspietersfontein,Hermanuspietersfontein Swartskaap 2013,Hermanuspietersfontein,Bronze,Red,Cabernet Franc - WO Sunday's Glen - 2013,South Africa
Imbuko Wines (Pty) Ltd,Van Zijl Family Vinterners Blue Ink Cabernet Sauvignon 2015,Imbuko Wines (Pty) Ltd,Bronze,Red,Cabernet Sauvignon - WO Western Cape - 2016-2013,South Africa
THE PROJECT WINES PTY LTD,Surfer's Path White Sauvignon Blanc 2017,The Project Partnership,Bronze,White,Sauvignon Blanc - W O Western Cape - 2017,South Africa
Org de Rac,Org de Rac Merlot 2015,Org de Rac,Bronze,Red,Merlot  - Swartland - 2015,South Africa
